Site,x,y
Apache Creek,724125,3747310.1
Atsinna,726741,3895498.755
Baca Pueblo,651431,3797142.841
Casa Malpais,659021,3786210.973
Cienega,738699,3887984.6
Coyote Creek,671154,3780509.389
Foote Canyon,666154,3708705.262
Garcia Ranch,669805,3823197.78
Heshotauthla,712681,3883427.529
Hinkson,677212,3853117.366
Hooper Ranch,664369,3791893.093
Horse Camp Mill,746535,3824971.491
Hubble Corner,734373,3824746.025
Jarlosa,673176,3848337.853
Los Gigantes,735308,3888290.974
Mineral Creek Pueblo,597901,3795618.378
Mirabal,744755,3882296.769
Ojo Bonito,683853,3846551.071
Pescado Cluster,711737,3894086.378
Platt Ranch,656147,3833150.004
Pueblo de los Muertos,749183,3882408.342
Rudd Creek Ruin,668620,3760723.317
Scribe S,737275,3887591.938
Spier 170,684917,3843475.523
Techado Springs,743076,3817817.186
Tinaja,738630,3881462.31
Tri-R Pueblo,739013,3830965.654
UG481,737163,3823659.7
UG494,744089,3823943.338
WS Ranch,704734,3738527.699
Yellowhouse,717881,3886590.701
